reference,longitude,latitude,10/27/12 0:00,10/27/12 12:00,10/28/12 0:00,10/28/12 12:00,10/29/12 0:00,10/29/12 12:00,10/30/12 0:00,10/30/12 12:00,10/31/12 0:00,10/31/12 12:00,11/1/12 0:00,11/1/12 12:00,11/2/12 0:00,11/2/12 12:00,11/3/12 0:00,11/3/12 12:00,11/4/12 0:00,11/4/12 12:00,11/5/12 0:00,11/5/12 12:00,11/6/12 0:00,11/6/12 12:00,11/7/12 0:00,11/7/12 12:00,11/8/12 0:00,11/8/12 12:00,11/9/12 0:00
asset_1,-73.9324913,40.79538516,7.98E-05,7.98E-05,7.98E-05,7.99E-05,7.99E-05,9.19E-05,9.19E-05,9.19E-05,9.19E-05,9.19E-05,9.20E-05,9.20E-05,9.20E-05,9.20E-05,9.50E-05,9.50E-05,9.50E-05,9.50E-05,9.50E-05,9.51E-05,9.51E-05,9.51E-05,9.51E-05,9.53E-05,9.53E-05,9.53E-05,9.53E-05
asset_2,-74.0053561,40.75694336,7.86E-05,7.86E-05,7.86E-05,7.86E-05,7.86E-05,7.89E-05,7.89E-05,7.89E-05,7.89E-05,7.89E-05,7.89E-05,7.89E-05,7.89E-05,7.89E-05,7.89E-05,7.89E-05,8.42E-05,8.47E-05,8.47E-05,8.48E-05,8.48E-05,8.48E-05,8.48E-05,8.48E-05,8.48E-05,8.48E-05,8.49E-05
asset_3,-73.97660882,40.79075811,2.07E-05,2.07E-05,2.07E-05,2.07E-05,2.07E-05,2.07E-05,2.07E-05,2.07E-05,2.07E-05,2.07E-05,2.07E-05,2.07E-05,2.07E-05,2.07E-05,2.07E-05,2.07E-05,2.07E-05,2.07E-05,2.07E-05,2.07E-05,2.07E-05,2.07E-05,2.07E-05,2.07E-05,2.07E-05,2.07E-05,2.07E-05
asset_4,-73.94538589,40.78395576,0.000156399,0.000156406,0.000156421,0.000156428,0.000156437,0.000156444,0.000156451,0.000156458,0.000156465,0.000156471,0.000156478,0.000156485,0.000156492,0.000156499,0.000156506,0.000156514,0.000156521,0.000156534,0.000156541,0.000156548,0.000156555,0.000156562,0.000156569,0.000156576,0.000156584,0.000156644,0.000156691
asset_5,-73.91599138,40.87012314,1.55E-05,1.55E-05,1.55E-05,1.55E-05,1.55E-05,1.55E-05,1.55E-05,1.55E-05,1.55E-05,1.55E-05,1.55E-05,1.55E-05,1.55E-05,1.55E-05,1.55E-05,1.55E-05,1.55E-05,1.55E-05,1.55E-05,1.55E-05,1.55E-05,1.55E-05,1.55E-05,1.55E-05,1.55E-05,1.55E-05,1.55E-05
asset_6,-73.97888312,40.75352663,0.002209417,0.002209516,0.002209684,0.002209865,0.002210033,0.002210177,0.002210278,0.00221197,0.00221294,0.002213156,0.002213453,0.002213547,0.002213641,0.002213937,0.002214234,0.002214844,0.002216887,0.002217184,0.002217481,0.002217778,0.002218075,0.002218368,0.002218665,0.002218962,0.002219259,0.002219556,0.002219854
asset_7,-74.00099541,40.75477336,0.000136561,0.000136567,0.000136572,0.000136578,0.000136584,0.00013659,0.000136596,0.000136602,0.000136608,0.000136613,0.000136619,0.000136625,0.000136631,0.000136637,0.000137161,0.000138319,0.000139452,0.000140585,0.000141743,0.000142902,0.000144061,0.00014522,0.000146353,0.000147512,0.000148646,0.000149779,0.000150913
asset_8,-73.93574225,40.83189089,0.00225539,0.002255489,0.002255589,0.002255687,0.002255785,0.002255883,0.002255981,0.00225608,0.002256178,0.002256276,0.002256374,0.002256472,0.00225657,0.002256668,0.002256766,0.002256864,0.002256962,0.002257061,0.002257159,0.002257257,0.002257355,0.002257453,0.002257552,0.00225765,0.002257749,0.002257847,0.002257945
asset_9,-74.00863725,40.7422405,5.19E-05,5.19E-05,5.19E-05,5.19E-05,5.19E-05,5.19E-05,5.19E-05,5.19E-05,0.000133669,0.000133675,0.000133681,0.000133687,0.000133693,0.000133699,0.000133709,0.000134268,0.000134305,0.000134377,0.000134383,0.000134389,0.000134396,0.000134403,0.000134409,0.000134417,0.000134424,0.00013443,0.000134436
asset_10,-73.98998223,40.77019776,0.000559575,0.000559601,0.000559678,0.000559703,0.000560809,0.000560834,0.000560859,0.000560884,0.00056091,0.000560935,0.00056096,0.000560985,0.00056101,0.000561036,0.000561061,0.000561086,0.000561111,0.000561138,0.000561163,0.000561188,0.000561214,0.000561239,0.000561264,0.000561289,0.000561314,0.00056134,0.000561365
asset_11,-73.93127946,40.78651456,6.90E-05,6.90E-05,7.24E-05,7.24E-05,7.25E-05,7.25E-05,7.25E-05,7.25E-05,7.25E-05,7.25E-05,7.25E-05,7.25E-05,7.25E-05,7.25E-05,7.25E-05,7.25E-05,7.25E-05,7.25E-05,7.25E-05,7.25E-05,7.25E-05,7.25E-05,7.25E-05,7.25E-05,7.25E-05,7.26E-05,7.26E-05
asset_12,-73.94681439,40.80492613,4.76E-07,4.76E-07,4.76E-07,4.76E-07,4.76E-07,4.76E-07,4.76E-07,4.77E-07,4.77E-07,4.77E-07,4.77E-07,4.77E-07,4.77E-07,4.77E-07,4.77E-07,4.77E-07,4.77E-07,4.77E-07,4.77E-07,4.77E-07,4.77E-07,4.77E-07,4.77E-07,4.77E-07,4.77E-07,4.77E-07,4.77E-07
asset_13,-73.97316207,40.76435321,3.41E-05,3.41E-05,3.42E-05,3.42E-05,3.47E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,4.17E-05,4.18E-05,4.18E-05,4.18E-05,4.18E-05,4.18E-05,4.18E-05,4.18E-05,4.19E-05,4.19E-05,4.19E-05,4.19E-05,4.20E-05,4.20E-05,4.20E-05,4.20E-05
asset_14,-73.93880094,40.80036317,0.000502314,0.000502347,0.000502381,0.000502415,0.000502449,0.000502482,0.000502516,0.00050255,0.000502583,0.000502617,0.000502651,0.000502684,0.000502718,0.000502752,0.000502785,0.000502819,0.000502853,0.000502888,0.000502921,0.000502955,0.000502989,0.000503023,0.000503057,0.000503091,0.000503125,0.000503159,0.000503192
asset_15,-73.96356963,40.81485355,8.58E-05,8.58E-05,8.59E-05,8.59E-05,8.59E-05,8.59E-05,8.59E-05,8.59E-05,8.59E-05,8.59E-05,8.59E-05,8.59E-05,8.59E-05,8.59E-05,8.59E-05,8.59E-05,8.59E-05,8.59E-05,8.60E-05,8.60E-05,8.60E-05,8.60E-05,8.60E-05,8.60E-05,8.60E-05,8.60E-05,8.60E-05
asset_16,-73.96894468,40.79008679,8.52E-05,8.53E-05,8.53E-05,8.53E-05,8.53E-05,8.53E-05,8.53E-05,8.53E-05,8.54E-05,8.54E-05,8.54E-05,8.54E-05,8.54E-05,8.54E-05,8.54E-05,8.56E-05,8.56E-05,8.57E-05,8.57E-05,8.57E-05,8.57E-05,8.57E-05,8.57E-05,8.58E-05,8.58E-05,8.58E-05,8.58E-05
asset_17,-73.99092956,40.72267047,3.52E-05,3.52E-05,3.52E-05,3.52E-05,3.52E-05,3.52E-05,3.52E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.53E-05,3.54E-05,3.54E-05,3.54E-05,3.54E-05,3.54E-05
asset_18,-73.94224022,40.8397957,8.80E-05,8.80E-05,8.80E-05,8.80E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.82E-05,8.82E-05,8.82E-05,8.82E-05,8.82E-05,8.83E-05
